Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,ALB,Oil,GCP,CO2,1.5755,1.8144,1.9566,1.6488,1.5352,1.6204,1.9007,1.9163,2.1837,2.2204,2.483,2.9385,4.0817,3.4955,2.4239,2.4549,2.6547,2.944,3.2848,3.7721,1.5719,3.4937,3.1437,3.1291,2.9459,2.7553,2.8689,2.8227,2.5771,4.0964,2.1728,2.2277,1.4164,1.4779,1.6048,1.7734,1.7551,1.4106,1.6234,2.7917,2.8398,3.1254,3.6384,3.8912,3.7593,3.9097,3.5397,3.375,3.7959,3.4148,3.4918,3.7739,3.1547,3.3306,3.8557,3.3379,3.3599,3.8078,3.3306,3.4405,3.0265,2.94,2.9853
Albania,ALB,Total fossil fuels and cement,GCP,CO2,2.0222,2.2785,2.4617,2.0806,2.0147,2.1722,2.5496,2.6775,3.0692,3.2413,3.7395,4.348,5.638,5.2864,4.3415,4.5912,4.9472,5.7173,6.4912,7.584,5.1708,7.3396,7.3076,7.6308,7.8259,7.8815,8.0581,7.4471,7.3292,8.9862,5.5206,4.2902,2.5171,2.338,1.9238,2.0891,2.0175,1.543,1.7547,2.9862,3.0249,3.2207,3.7483,4.3035,4.1767,4.2614,3.9107,3.949,4.397,4.4066,4.7839,5.3147,4.8501,5.2875,5.9997,4.7121,4.632,5.293,4.895,4.8269,5.0189,4.9037,4.9547
Algeria,DZA,Cement,GCP,CO2,0.52334,0.53028,0.4322,0.43611,0.38887,0.36727,0.32709,0.35964,0.42902,0.46867,0.45792,0.47609,0.45792,0.4979,0.46519,0.46877,0.68832,0.87407,1.3214,1.8414,2.0217,2.1653,2.1263,2.3183,2.6606,2.9198,3.0825,3.5906,3.415,3.2233,2.9886,2.9694,2.9979,2.9884,2.8207,3.1652,3.0062,3.2713,3.4464,3.4353,3.7894,3.7658,4.0577,4.0321,4.8967,5.6615,6.54,7.0007,7.5834,8.2203,8.2523,8.1872,7.6967,7.2984,7.6679,8.062,9.1051,10.0845,9.7461,10.1004,8.9578,9.555,9.555
Algeria,DZA,Coal,GCP,CO2,1.2568,0.76531,0.40644,0.25282,0.28213,0.26395,0.27114,0.19045,0.2016,0.45053,0.97096,0.90134,0.64853,0.82074,0.69982,0.79133,0.58619,0.60456,0.57158,0.89402,1.6085,1.9091,1.9749,3.1476,4.0267,3.0778,2.726,2.9678,2.975,2.9862,2.9422,2.6894,2.3779,1.9236,2.2862,1.9346,1.407,1.3813,2.1105,2.1727,1.9602,2.0958,2.6088,2.7883,1.9236,2.3633,2.7004,3.0118,3.0082,1.5938,1.2165,1.0479,1.0369,0.72547,0.54592,0.50197,0,0.79509,1.33,1.0955,0.50196,0.50197,0.50197
Algeria,DZA,Gas,GCP,CO2,0,0.4504,0.68839,0.60456,1.1908,1.778,1.8503,1.7909,1.8841,2.4761,0.13557,0.67418,3.1364,3.1474,2.4512,4.4586,6.0634,3.6054,23.8563,8.1671,25.4795,11.1651,7.1704,16.6101,30.5101,27.6998,33.0859,40.1171,38.9723,36.673,38.908,38.428,31.9318,36.0977,37.3859,47.2216,50.5669,39.0069,54.6412,50.9202,38.5343,41.0295,44.6532,44.0266,41.209,61.2108,49.3064,51.0762,51.5506,54.894,53.3678,56.7206,64.1145,65.45,73.8314,78.7687,78.6771,82.3521,88.8866,91.2499,88.2673,97.3227,89.9669
Algeria,DZA,Gas flaring,GCP,CO2,0,0,0,0,0,0,0,0,0,0,6.6575,8.9805,16.8214,24.4352,18.6534,14.9914,20.7583,22.8927,23.5412,19.2836,18.6864,12.9459,9.2589,8.4058,10.981,16.4074,14.4252,12.1168,11.0611,11.7724,8.6947,8.6544,13.8976,12.9412,15.6654,17.3748,17.6527,14.6907,13.2488,12.7326,14.2868,11.4899,9.8775,11.7909,10.8664,10.7045,12.1163,10.479,11.5822,9.2568,10.1512,12.2191,14.287,15.3936,16.3528,17.1646,16.0729,16.5499,16.3912,16.9737,17.5295,15.3329,16.1944
Algeria,DZA,Oil,GCP,CO2,4.3712,4.3099,4.134,4.1257,3.7812,4.1793,5.9723,6.0906,6.5356,7.8677,6.837,7.6175,7.2584,9.3762,9.607,11.2912,11.0349,13.8682,13.1648,15.3595,18.6204,18.1566,18.6424,22.0222,22.7681,22.5043,22.7608,25.0911,27.2846,25.1534,23.2041,26.0657,28.6781,27.993,30.4502,27.0806,27.4067,30.0192,33.0896,22.1883,26.8278,28.4583,29.4952,31.9428,32.8184,31.0524,35.233,38.3218,37.3631,44.8913,45.3654,46.9197,48.5393,51.9189,52.8848,55.5902,54.6266,55.3081,54.9221,59.1576,54.6362,57.5126,60.1269
Algeria,DZA,Total fossil fuels and cement,GCP,CO2,6.1512,6.0559,5.661,5.4192,5.643,6.5885,8.4209,8.4316,9.0502,11.263,15.059,18.6495,28.3226,38.2774,31.8767,32.0012,39.1311,41.8449,62.4553,45.5456,66.4165,46.342,39.173,52.5039,70.9465,72.6091,76.0804,83.8835,83.708,79.8083,76.7376,78.8068,79.8833,81.944,88.6084,96.7769,100.0394,88.3694,106.5366,91.4491,85.3986,86.8393,90.6924,94.5806,91.7142,110.9925,105.8962,109.8894,111.0874,118.8563,118.3533,125.0946,135.6743,140.7864,151.2828,160.0875,158.4816,165.0896,171.276,178.5772,169.8928,180.2252,176.3451
Andorra,AND,Cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,Coal,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,Gas,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,Gas flaring,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
