State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AK,US,Waste,N2O,0.037229,0.038674,0.040189,0.041174,0.042103,0.041823,0.042473,0.042503,0.043713,0.045016,0.045409,0.044933,0.045726,0.046307,0.047234,0.047246,0.048285,0.048294,0.048007,0.048118,0.049531,0.050291,0.052122,0.051974,0.052003,0.050907,0.051951,0.052513,0.052713,0.052036,0.051721
USA.AK,US,Waste,All GHG,0.437274,0.45119,0.449078,0.425103,0.413156,0.404749,0.408103,0.377974,0.340776,0.349048,0.34656,0.328119,0.341331,0.337621,0.331007,0.321969,0.314791,0.314964,0.306807,0.31053,0.720442,0.792552,0.829011,1.001263,0.945973,0.917496,0.978854,1.075882,0.537555,0.559316,0.500206
USA.AK,US,Total including LUCF,All GHG,35.77186,27.5734,21.09333,23.31283,21.48412,26.82322,27.27565,25.77603,33.17675,36.36731,35.22187,30.91564,61.45697,34.3248,130.1351,70.85725,31.41047,32.74943,22.40614,56.23384,29.64391,23.19088,21.13555,40.06937,20.31824,120.6976,17.28697,29.5721,38.93689,68.53063,17.75442
USA.AK,US,Total excluding LUCF,CH4,4.603221,4.725111,4.612741,4.350831,4.432221,4.563771,4.426051,4.073877,3.656158,3.285469,3.021937,2.924693,3.073622,3.076742,2.90646,2.754796,2.446546,2.301094,2.132604,2.025308,2.318643,2.342971,2.309856,2.409993,2.312259,2.257529,2.315718,2.424805,1.769836,1.762728,1.738474
USA.AK,US,Total excluding LUCF,CO2,32.10262,32.92036,34.27325,34.92705,34.45713,39.04337,40.56774,39.38417,40.54034,40.91853,41.54163,41.52762,41.43384,41.24298,43.69638,45.40312,43.05583,41.49902,37.58777,36.55023,35.56704,34.67282,34.23792,32.49637,32.82314,32.6436,31.04791,31.43106,31.37201,31.37541,33.40516
USA.AK,US,Total excluding LUCF,N2O,0.227544,0.231952,0.22706,0.227707,0.244307,0.248049,0.255137,0.261848,0.278114,0.271129,0.2756,0.273545,0.276431,0.282062,0.293505,0.289573,0.303197,0.273878,0.248777,0.231581,0.250437,0.243086,0.236655,0.224436,0.21766,0.215243,0.210297,0.20747,0.209579,0.209284,0.203495
USA.AK,US,Total excluding LUCF,F-Gas,0.113606,0.109431,0.111169,0.117559,0.130994,0.16164,0.18222,0.201779,0.208668,0.227982,0.23861,0.251048,0.256373,0.263283,0.270017,0.27656,0.285816,0.299024,0.315946,0.340791,0.360698,0.369523,0.369746,0.373405,0.381069,0.386896,0.391712,0.389181,0.388814,0.396516,0.403671
USA.AK,US,Total excluding LUCF,All GHG,37.04699,37.98686,39.22422,39.62315,39.26465,44.01683,45.43115,43.92167,44.68328,44.70311,45.07777,44.97691,45.04027,44.86507,47.16636,48.72405,46.09139,44.37302,40.2851,39.14791,38.49682,37.6284,37.15418,35.5042,35.73413,35.50326,33.96564,34.45251,33.74024,33.74394,35.7508
USA.AK,US,Total including LUCF,CH4,6.400456,5.422379,4.64377,4.74005,4.645378,4.586337,4.426119,4.075488,3.849283,3.898022,3.68099,3.001997,4.836423,3.774297,11.06378,7.819631,2.607403,2.68571,2.226984,5.24566,2.6585,2.596593,2.333305,3.846416,2.358177,7.434201,2.780634,3.246579,2.185261,4.908153,1.757148
USA.AK,US,Total including LUCF,CO2,27.73396,21.28814,16.08153,17.9474,16.29954,21.80634,22.41217,21.23691,28.68274,31.55595,30.51411,27.30561,54.52325,29.34359,110.4439,57.85845,28.03526,29.16003,19.51907,47.60567,25.87066,19.7701,18.14817,34.4361,17.23319,108.3969,13.62421,25.23121,35.82246,60.2572,15.36924
USA.AK,US,Total including LUCF,N2O,1.523844,0.753452,0.25686,0.507827,0.408207,0.268909,0.255137,0.261848,0.436054,0.685349,0.78816,0.356985,1.840931,0.943622,8.357385,4.902613,0.481997,0.604658,0.344137,3.041721,0.754057,0.454666,0.284335,1.413456,0.3458,4.479623,0.490417,0.70513,0.540359,2.968764,0.224355
USA.AK,US,Total including LUCF,F-Gas,0.113606,0.109431,0.111169,0.117559,0.130994,0.16164,0.18222,0.201779,0.208668,0.227982,0.23861,0.251048,0.256373,0.263283,0.270017,0.27656,0.285816,0.299024,0.315946,0.340791,0.360698,0.369523,0.369746,0.373405,0.381069,0.386896,0.391712,0.389181,0.388814,0.396516,0.403671
USA.AL,US,Agriculture,CH4,3.232662,3.14792,3.195574,3.234108,3.316446,3.406089,3.321317,3.064173,3.012531,2.891314,2.838042,2.688757,2.693918,2.779084,2.678035,2.623421,2.570028,2.577657,2.486393,2.504403,2.519915,2.477353,2.499242,2.544129,2.516408,2.433668,2.445172,2.534524,2.596485,2.549098,2.543112
